pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2455,764612498,14730,0,0,0,0,0,0,764597768,375,55728168,2250,0,0,0,0,0,0,55725918
0x02006fcc,49152,245506,-23490,4050,201802,63144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02065d8e,159964,558357,188733,0,363556,6068,0,0,0,0,35935,110603,35200,0,74095,1308,0,0,0,0
0x01fff4f6,754083,9693858,753676,0,0,8940182,0,0,0,0,69538,846067,69505,0,0,776562,0,0,0,0
0x01fff4f4,754083,9226556,752044,0,0,8474512,0,0,0,0,69536,806311,69310,0,0,737001,0,0,0,0
0x01fff4f2,754085,9072344,741470,0,0,8330874,0,0,0,0,69536,792280,68439,0,0,723841,0,0,0,0
0x02006fd0,49152,156924,-43802,156967,0,43759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff4f0,754077,7172844,129565,0,0,7043279,0,0,0,0,69534,627329,15240,0,0,612089,0,0,0,0
0x02065d92,159963,479889,159963,319926,0,0,0,0,0,0,35935,107805,35935,71870,0,0,0,0,0,0
0x01fff596,599384,2206347,1620874,0,0,530177,55296,0,0,0,66781,234066,163285,0,0,70781,0,0,0,0
0x02065d90,159964,382979,2,159964,0,0,0,0,223013,0,35936,83683,2,35936,0,0,0,0,47745,0
0x02006fc4,49152,98327,0,98327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fd6,49152,98112,49152,48960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fffb74,40000,3027726,-119574,0,3009316,137984,0,0,0,0,11504,877204,-34467,0,872680,38991,0,0,0,0
0x01fff594,599382,2680923,-164037,0,1825862,1019098,0,0,0,0,66781,343680,-19642,0,202472,160850,0,0,0,0
0x02006fce,49152,68592,68592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff5be,84242,523475,450311,0,0,73164,0,0,0,0,6665,43072,35995,0,0,7077,0,0,0,0
0x01fff538,165188,943966,911424,0,0,32542,0,0,0,0,13726,79357,76362,0,0,2995,0,0,0,0
0x01fff560,165187,869023,195163,0,667440,6420,0,0,0,0,13726,76358,18146,0,56229,1983,0,0,0,0
0x02006fc0,49152,49154,0,49154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fc2,49152,49152,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fc8,49152,49152,0,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fca,49152,49152,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fd2,49152,49152,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fd4,49152,49152,0,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02065d8c,159963,161135,0,161135,0,0,0,0,0,0,35935,36151,0,36151,0,0,0,0,0,0
0x02065d86,159964,159966,159966,0,0,0,0,0,0,0,35935,35935,35935,0,0,0,0,0,0,0
0x02065d88,159963,159963,0,159963,0,0,0,0,0,0,35935,35935,0,35935,0,0,0,0,0,0
0x02065d8a,159963,159963,159963,0,0,0,0,0,0,0,35935,35935,35935,0,0,0,0,0,0,0
0x01fff598,599381,931735,13925,0,757189,160621,0,0,0,0,66780,112327,-2305,0,87827,26805,0,0,0,0
0x01fff544,165187,491769,491769,0,0,0,0,0,0,0,13726,41144,41144,0,0,0,0,0,0,0
0x01fff5bc,84241,1453205,-64570,0,573610,944165,0,0,0,0,6665,131053,-5260,0,49087,87226,0,0,0,0
0x01fff59c,599381,761033,23450,0,703535,34048,0,0,0,0,66780,79022,-680,0,76524,3178,0,0,0,0
0x01fff5a0,599381,630101,630101,0,0,0,0,0,0,0,66780,66780,66780,0,0,0,0,0,0,0
0x02012b90,8192,41330,0,24926,0,0,0,0,16404,0,0,0,0,0,0,0,0,0,0,0
0x01fff590,599381,10681747,-579590,0,5510065,5751272,0,0,0,0,66780,1708064,-78840,0,761932,1024972,0,0,0,0
0x01fff592,599391,3753227,3247501,0,0,450430,55296,0,0,0,66781,514378,453871,0,0,60507,0,0,0,0
0x0204762e,10165,30507,10177,20330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff55c,165187,955092,-51400,0,566976,222929,0,0,216587,0,13726,89275,-4825,0,52260,23289,0,0,18551,0
0x01fff562,165187,338098,7724,0,165187,0,0,0,165187,0,13726,28552,1100,0,13726,0,0,0,13726,0
0x01fff59a,599382,1001384,410534,0,0,535554,55296,0,0,0,66780,116727,45386,0,0,71341,0,0,0,0
0x01fff59e,599381,1043508,299124,0,0,689088,55296,0,0,0,66780,116249,29999,0,0,86250,0,0,0,0
0x01fff564,165187,432771,165187,267584,0,0,0,0,0,0,13726,35822,13726,22096,0,0,0,0,0,0
0x01fff540,165189,331280,157611,0,0,8482,0,0,165187,0,13726,27524,13019,0,0,779,0,0,13726,0
0x01fff54c,161635,320716,320716,0,0,0,0,0,0,0,13483,26831,26831,0,0,0,0,0,0,0
0x01fff57c,159739,179471,179471,0,0,0,0,0,0,0,13466,14129,14129,0,0,0,0,0,0,0
0x01fff5da,47712,95424,95424,0,0,0,0,0,0,0,3261,6522,6522,0,0,0,0,0,0,0
0x0204773c,12396,24838,29,24809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204775a,12396,24827,12396,0,0,0,0,0,12431,0,0,0,0,0,0,0,0,0,0,0
0x0204773a,12396,24792,12396,0,0,0,0,0,12396,0,0,0,0,0,0,0,0,0,0,0
0x02047756,12396,24792,24792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02065d0c,103601,603582,-90557,325796,359515,8828,0,0,0,0,22180,139972,-21159,76465,82382,2284,0,0,0,0
0x0204775c,12396,22578,0,22578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012e68,8192,25468,0,8194,0,0,0,0,17274,0,0,0,0,0,0,0,0,0,0,0
0x020badc0,8,25404,-24,-12,0,0,56,25384,0,0,0,0,0,0,0,0,0,0,0,0
0x02012bc8,8192,24852,0,24852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b7f0,8192,24872,0,24847,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b7fc,8192,24734,0,24734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012e5c,8192,24590,0,8196,0,0,0,0,16394,0,0,0,0,0,0,0,0,0,0,0
0x0201b748,8192,24584,-120,16512,0,0,0,0,8192,0,0,0,0,0,0,0,0,0,0,0
0x02047662,10354,20768,10378,10390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047654,10354,20709,0,10355,0,0,0,0,10354,0,0,0,0,0,0,0,0,0,0,0
0x02047786,10165,20375,10165,0,0,0,0,0,10210,0,0,0,0,0,0,0,0,0,0,0
0x0204778a,10165,20374,10165,10209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204762c,10165,20361,0,10166,0,0,0,0,10195,0,0,0,0,0,0,0,0,0,0,0
0x02047780,10165,20357,0,20357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204764e,10165,20330,10165,0,0,0,0,0,10165,0,0,0,0,0,0,0,0,0,0,0
0x01fff4fc,754076,1393451,1393451,0,0,0,0,0,0,0,69534,127013,127013,0,0,0,0,0,0,0
0x020bcf10,18319,281304,-3839,43381,219301,2687,0,0,19774,0,2069,47785,-864,5479,39982,744,0,0,2444,0
0x02012d9c,5219,21963,-89,11614,5219,0,0,0,5219,0,0,0,0,0,0,0,0,0,0,0
0x01ff90b0,52800,26781434,52800,0,0,0,369600,26359034,0,0,4554,2309404,4554,0,0,0,31878,2272972,0,0
0x02001484,512624,13931903,-2252887,390506,15166109,628175,0,0,0,0,57721,1306454,-208850,36411,1419482,59411,0,0,0,0
0x0201b708,8192,16496,-118,8303,8303,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6f8,8192,16448,0,16448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b77c,8192,16407,0,8200,0,0,0,0,8207,0,0,0,0,0,0,0,0,0,0,0
0x0201b688,8192,16398,0,8196,0,0,0,0,8202,0,0,0,0,0,0,0,0,0,0,0
0x0201b710,8192,16396,-118,16514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b724,8192,16396,-63,16459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6c8,8193,16395,0,16395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6d4,8192,16392,0,16392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6e0,8192,16392,0,16392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b730,8192,16392,0,16392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b694,8192,16388,0,8196,0,0,0,0,8192,0,0,0,0,0,0,0,0,0,0,0
0x0201b714,8192,16388,0,8196,0,0,0,0,8192,0,0,0,0,0,0,0,0,0,0,0
0x0201b728,8192,16388,0,8196,0,0,0,0,8192,0,0,0,0,0,0,0,0,0,0,0
0x0201b74c,8192,16388,0,8196,0,0,0,0,8192,0,0,0,0,0,0,0,0,0,0,0
0x02012e78,5219,16072,116,15956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0206952c,16221,805295,-97110,16185,817197,69023,0,0,0,0,7668,379072,-45906,7651,386578,30749,0,0,0,0
0x0201b784,8192,14460,0,14460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fffb78,40000,439616,181931,0,0,257685,0,0,0,0,11504,126514,51126,0,0,75388,0,0,0,0
0x020bce60,18319,132574,4443,121954,0,6177,0,0,0,0,2069,15260,820,12674,0,1766,0,0,0,0
0x01fff5a6,599382,1058758,1058758,0,0,0,0,0,0,0,66780,120757,120757,0,0,0,0,0,0,0
0x020bcfec,18319,226645,-7175,38458,168661,3867,0,0,22834,0,2069,42667,-1912,5612,34510,1041,0,0,3416,0
0x01fff574,163291,166843,166843,0,0,0,0,0,0,0,13709,13952,13952,0,0,0,0,0,0,0
0x01fff55e,165188,165190,165190,0,0,0,0,0,0,0,13726,13726,13726,0,0,0,0,0,0,0
0x01fff53a,165187,165187,165187,0,0,0,0,0,0,0,13726,13726,13726,0,0,0,0,0,0,0
0x01fff53c,165187,165187,165187,0,0,0,0,0,0,0,13726,13726,13726,0,0,0,0,0,0,0
0x01fff53e,165187,165187,165187,0,0,0,0,0,0,0,13726,13726,13726,0,0,0,0,0,0,0
0x01fff542,165187,165187,165187,0,0,0,0,0,0,0,13726,13726,13726,0,0,0,0,0,0,0
0x01fff566,163292,163294,163294,0,0,0,0,0,0,0,13709,13709,13709,0,0,0,0,0,0,0
0x01fff568,163291,163291,163291,0,0,0,0,0,0,0,13709,13709,13709,0,0,0,0,0,0,0
0x01fff56a,163291,163291,163291,0,0,0,0,0,0,0,13709,13709,13709,0,0,0,0,0,0,0
0x01fff56c,163291,163291,163291,0,0,0,0,0,0,0,13709,13709,13709,0,0,0,0,0,0,0
0x01fff56e,163291,163291,163291,0,0,0,0,0,0,0,13709,13709,13709,0,0,0,0,0,0,0
0x01fff570,163291,163291,163291,0,0,0,0,0,0,0,13709,13709,13709,0,0,0,0,0,0,0
0x01fff572,163291,163291,163291,0,0,0,0,0,0,0,13709,13709,13709,0,0,0,0,0,0,0
0x01fff548,161636,161638,161638,0,0,0,0,0,0,0,13484,13486,13486,0,0,0,0,0,0,0
0x01fff54a,161635,161635,161635,0,0,0,0,0,0,0,13483,13483,13483,0,0,0,0,0,0,0
0x01fff576,159739,159739,159739,0,0,0,0,0,0,0,13466,13466,13466,0,0,0,0,0,0,0
0x01fff578,159739,159739,159739,0,0,0,0,0,0,0,13466,13466,13466,0,0,0,0,0,0,0
0x01fff57a,159739,159739,159739,0,0,0,0,0,0,0,13466,13466,13466,0,0,0,0,0,0,0
0x02047758,12396,12620,-237,202,12655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047740,12396,12552,-244,224,12572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff5c6,84241,120770,120770,0,0,0,0,0,0,0,6665,10069,10069,0,0,0,0,0,0,0
0x01fff5c0,84241,84241,84241,0,0,0,0,0,0,0,6665,6665,6665,0,0,0,0,0,0,0
0x01fff5c2,84241,84241,84241,0,0,0,0,0,0,0,6665,6665,6665,0,0,0,0,0,0,0
0x01fff5c4,84241,84241,84241,0,0,0,0,0,0,0,6665,6665,6665,0,0,0,0,0,0,0
0x01fff5c8,47712,47712,47712,0,0,0,0,0,0,0,3261,3261,3261,0,0,0,0,0,0,0
0x01fff5ca,47712,47712,47712,0,0,0,0,0,0,0,3261,3261,3261,0,0,0,0,0,0,0
0x01fff5cc,47712,47712,47712,0,0,0,0,0,0,0,3261,3261,3261,0,0,0,0,0,0,0
0x01fff5ce,47712,47712,47712,0,0,0,0,0,0,0,3261,3261,3261,0,0,0,0,0,0,0
0x01fff5d0,47712,47712,47712,0,0,0,0,0,0,0,3261,3261,3261,0,0,0,0,0,0,0
0x01fff5d2,47712,47712,47712,0,0,0,0,0,0,0,3261,3261,3261,0,0,0,0,0,0,0
0x01fff5d4,47712,47712,47712,0,0,0,0,0,0,0,3261,3261,3261,0,0,0,0,0,0,0
0x01fff5d6,47712,47712,47712,0,0,0,0,0,0,0,3261,3261,3261,0,0,0,0,0,0,0
0x01fff5d8,47712,47712,47712,0,0,0,0,0,0,0,3261,3261,3261,0,0,0,0,0,0,0
0x02047742,12396,12416,12416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047738,12396,12398,-216,218,12396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047744,12396,12396,0,12396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047746,12396,12396,0,0,12396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047748,12396,12396,0,12396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204774a,12396,12396,12396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204774c,12396,12396,-188,188,12396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204774e,12396,12396,12396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047750,12396,12396,0,12396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047752,12396,12396,12396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047754,12396,12396,0,12396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012e6c,8192,14144,0,14144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012bb8,2973,13784,-48,7886,2973,0,0,0,2973,0,0,0,0,0,0,0,0,0,0,0
0x020bd150,18319,126320,-1075,33200,75573,36,0,0,18586,0,2069,14459,-89,4030,8431,0,0,0,2087,0
0x020b4ca4,57950,351984,-2153,120657,175336,48,0,0,58096,0,19253,116776,-716,39925,58255,8,0,0,19304,0
0x02047784,10165,10694,-222,427,10489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047650,10165,10510,0,10510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047624,10165,10427,-87,10514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047622,10165,10373,-41,0,10414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204765c,10354,10370,0,10370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047734,10354,10357,0,10357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047658,10354,10356,0,10356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047660,10354,10356,0,10356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047652,10354,10354,0,0,10354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047656,10354,10354,10354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204765a,10354,10354,10354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204765e,10354,10354,10354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047736,10354,10354,10354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204762a,10165,10285,-30,0,10315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204777a,10165,10285,-50,0,10335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047636,10165,10249,84,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204777c,10166,10235,0,10235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02037ef4,164464,6877766,-967888,707164,6561307,316124,0,0,261059,0,17447,736143,-101623,74281,699351,36512,0,0,27622,0
0x0204761c,10165,10182,0,10182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff4f8,754082,754094,754094,0,0,0,0,0,0,0,69534,69534,69534,0,0,0,0,0,0,0
0x01fff4fa,754076,754076,754076,0,0,0,0,0,0,0,69534,69534,69534,0,0,0,0,0,0,0
0x02047620,10165,10167,0,10167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047628,10165,10167,0,10167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204761e,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047626,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047632,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047634,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047638,10165,10165,-97,97,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204763a,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204763c,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204763e,10165,10165,0,0,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047640,10165,10165,0,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047642,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047644,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047646,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047648,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204764a,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204764c,10165,10165,0,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047760,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047762,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047764,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047766,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047768,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204776a,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204776c,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204776e,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047770,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047772,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047774,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047776,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047778,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0204777e,10165,10165,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02047788,10165,10165,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fffc5c,41664,249984,249984,0,0,0,0,0,0,0,11520,69120,69120,0,0,0,0,0,0,0
0x02065d0e,103601,281617,103601,0,0,0,0,0,178016,0,22180,61780,22180,0,0,0,0,0,39600,0
0x02012e64,8193,11134,-1188,347,11599,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02066400,434129,6022325,-52095,1146103,4477301,10941,0,0,440075,0,49213,673061,-6015,126978,500700,1372,0,0,50026,0
0x020547fc,157494,6520281,-939843,1009796,6159132,291196,0,0,0,0,16577,688737,-97428,107219,644990,33956,0,0,0,0
0x01fffc40,49293,295770,295758,0,0,12,0,0,0,0,10571,63434,63426,0,0,8,0,0,0,0
0x01fff55a,50583,139537,139537,0,0,0,0,0,0,0,3672,10260,10260,0,0,0,0,0,0,0
0x01ff82e0,2234162,3656636,3656636,0,0,0,0,0,0,0,334576,528398,528398,0,0,0,0,0,0,0
0x01ff8338,965820,2413438,965820,1447618,0,0,0,0,0,0,175346,442621,175346,267275,0,0,0,0,0,0
0x01fff554,50583,179396,105112,0,0,23701,0,0,50583,0,3672,13636,6945,0,0,3019,0,0,3672,0
0x0201b790,5120,10290,-76,70,5172,4,0,0,5120,0,0,0,0,0,0,0,0,0,0,0
0x0201b798,5120,10274,2,10272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b7a8,5120,10246,53,10193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff300,2183168,4269114,4269114,0,0,0,0,0,0,0,304790,576406,576406,0,0,0,0,0,0,0
0x0208a040,90858,2516943,-475157,95626,2715397,181077,0,0,0,0,16494,424811,-83438,15587,460865,31797,0,0,0,0
0x020b71d8,3968,66026,848,14499,45965,248,0,0,4466,0,121,7008,297,1856,4528,80,0,0,247,0
0x020bcfa8,18320,84813,-440,78441,0,6812,0,0,0,0,2069,11752,-309,10167,0,1894,0,0,0,0
0x0201b774,8192,8749,0,8749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020bd0e0,18319,77297,642,76529,0,126,0,0,0,0,2069,9035,53,8958,0,24,0,0,0,0
0x02012b78,8192,8564,-86,129,8497,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012b8c,8192,8459,-177,218,8410,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b778,8192,8362,-24,77,8301,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012e58,8192,8390,-170,262,8290,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6b8,8192,8305,0,8305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b7d8,8192,8332,-95,8410,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012b80,8192,8320,-117,122,8295,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b7cc,8192,8272,-43,8312,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b684,8192,8268,-159,155,8272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b7f8,8192,8282,0,8282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b69c,8192,8248,-134,141,8237,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b698,8192,8260,0,8260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6d8,8192,8260,-142,210,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b718,8192,8260,0,8260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b738,8192,8260,0,8260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b7b8,8192,8260,-103,171,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b764,8192,8235,-144,139,8236,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b7c8,8192,8228,-118,120,8226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b70c,8192,8219,0,8219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012b7c,8192,8217,0,8217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b690,8192,8210,-142,160,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b71c,8192,8213,-126,147,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012e50,8192,8210,0,8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012e54,8192,8210,0,8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012e60,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6a0,8192,8206,0,8206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012b84,8192,8207,0,8207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012b74,8192,8204,-29,8233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012bbc,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012bc0,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02012bc4,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6bc,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6c0,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6c4,8192,8204,-284,8488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6cc,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6d0,8192,8204,-280,8484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6dc,8192,8204,-288,8492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6e4,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6e8,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6ec,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6f0,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6f4,8192,8204,-286,8490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b6fc,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b700,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b704,8192,8204,-246,8450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b720,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b72c,8192,8204,-232,8436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0201b734,8192,8204,0,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
